Case#,Submitted,From,Priority (H/M/L),Deadline,Target Completion,Status,Status As Of,Assigned To,Problem/Issue
6,06/11/2003,GBAILEY,H,None,TBD,Assigned to,01/06/2004,Matthew,Display in Lobby with PowerPoint presentation set to repeat. Customized for Visits.
10,06/11/2003,ABRIZOLAKI,H,ASAP,07/17/2003,TS Done-Awaiting OK,,Seth,Allow Editing of Pre-bills. Keep audit trail
32,06/12/2003,EPHILHOWER,H,asap,06/17/2003,Assigned to,,Matthew,Need to beable to change printer in BNI system
38,06/13/2003,LTREUT,H,asap,TBD,Assigned to,10/20/2003,Seth,we need the ability to import recoreds from exel in to the Misc. Billing Screen. to cut down the time it takes to manually bill for misch charges this was requested 2 years argo.
67,07/01/2003,MARTYM,H,07/02/2003,TBD,TS Done-Awaiting OK,11/19/2003,Matthew,Fix Oppenheimer Eloads - TS Note: Use FTP instead of drive mapping. 
83,07/02/2003,MARTYM,H,ASAP,,Assigned to,,Matthew,Oppenheimer orders do not automatically resend and may be lost when server goes down.
99,07/03/2003,Maritime Exchange,H,07/17/2003,07/10/2003,Assigned to,,Matthew,Increase Bandwidth for Maritime Exchange office to 712K. 
130,07/10/2003,JJAFFE,H,None Spec,,Assigned to,10/27/2003,Richard,Move Solomon Data into Oracle
144,07/14/2003,DNIESSEN,M,07/14/2003,16-Jul,TS Done-Awaiting OK,10/23/2003,Matthew,Microphone was changed and doesn't recognize words/Need to retrain software
153,07/15/2003,TSCOTT,H,07/18/2003,21-Jul,Assigned to,,Matthew,Internet Access to Ceridian (for transmission of payroll)
168,07/16/2003,LTRUET,M,07/25/2003,07/25/2003,Waiting on user,10/13/2003,Seth,"Determine Specifications of reports to auto-email JDS. Coordinate w/ customer A. Lane, L. Truet and TS Dept."
169,07/16/2003,FFITZGERALD,H,ASAP,07/25/2003,TS Done-Awaiting OK,10/09/2003,Matthew,Start Supervisor usage of LCS Scanners
170,07/16/2003,DNIESSEN,M,07/31/2003,07/31/2003,TS Done-Awaiting OK,10/20/2003,Seth,Email Over 60 hours reports to Ops & HR directors weekly from LCS. Request entered by I. Thomas.
171,07/16/2003,FFITZGERALD,M,ASAP,,Assigned to,,Matthew,Apply DSPC barcode to C&S Pallets on discharge and track through inspection and loadout. Entered by I. Thomas.
173,07/16/2003,LTREUT,M,ASAP,08/15/2003,Waiting on user,08/18/2003,Seth,Provide ability to email Juice Withdrawals once a day to bill-to address. Inigo's Note: Use PHP and the intranet.
187,07/17/2003,SSHOEMAKER,M,,TBD,Assigned to,,Seth,Create or modify reports to our specifications in Oracle - Discoverer? ERS?
188,07/17/2003,SSHOEMAKER,M,,,Assigned to,,Richard,Batch/Transaction reports summarized by natural accounts in Oracle
189,07/17/2003,SSHOEMAKER,M,,,Assigned to,,Richard,Oracle AR statements redefined for monthly letters
190,07/17/2003,SSHOEMAKER,M,,,Assigned to,,Richard,Add Ceridian interface for payroll checking info to Oracle Cash Management
193,07/18/2003,Customer - M. Skoog,H,,TBD,TS Done-Awaiting OK,09/15/2003,Matthew,Work with Mike Skoog @ Giumarra on adding more computers to Eloads. He'll be here from CA week of 7/21
195,07/18/2003,ABRIZOLAKI,H,ASAP,TBD,Assigned to,,Seth,Build volume discounts into billing system
196,07/18/2003,ABRIZOLAKI,H,ASAP,TBD,Assigned to,,Seth,Build cutomer rate profile matrix(as in CCDS now)
197,07/18/2003,ABRIZOLAKI,L,,TBD,Assigned to,,Seth,Flag Inventory systems for outstanding custmer accounts
204,07/18/2003,ABRIZOLAKI,H,,TBD,Working on now,08/18/2003,Seth,Master invoice program must be rewritten. When pre-bills are requested they cannot be deleted as not to printand involves IS intervention
205,07/18/2003,ABRIZOLAKI,H,ASAP,TBD,Assigned to,,Seth,"Water charges,propane,and diesel sales automated"
206,07/18/2003,ABRIZOLAKI,H,ASAP,TBD,Assigned to,,Seth,Under customer maintenance need option to make customer status inactive.
207,07/18/2003,ABRIZOLAKI,H,ASAP,TBD,Working on now,12/04/2003,Seth,RF invoices are not centered at all. The date desc. and amount should be aligned
208,07/18/2003,ABRIZOLAKI,H,ASAP,TBD,Working on now,09/29/2003,Seth,some descriptions showing on invoices must be changed(ex. palletized loading is advance truck loading)
210,07/18/2003,ABRIZOLAKI,H,ASAP,08/19/2003,Assigned to,10/27/2003,Seth,LCS to have a report that shows all o/s labor tickets not yet signed or turned into acctg.
227,07/21/2003,MCUTLER,M,07/25/2003,07/25/2003,TS Done-Awaiting OK,09/04/2003,Matthew,Cannot send email attachments
229,07/21/2003,MHAHN,H,asap,07/25/2003,Assigned to,,Seth,"Need the ability to make customers ""inactive"" in BNI. Email to follow with details"
239,07/22/2003,BDEMPSEY,H,,,Assigned to,08/01/2003,Richard,"In ""Edit pallet details"", need ability to use ctrl key to highlight additional pallets"
240,07/22/2003,BDEMPSEY,M,ASAP,,Assigned to,07/29/2003,Richard,"In Edit pallet Combo,need stacking field added to fields available"
242,07/22/2003,BDEMPSEY,H,,,Assigned to,,Richard,Would like program that shows me automatically which warehouse rows are empty.
244,07/22/2003,BDEMPSEY,H,ASAP,,Assigned to,,Richard,Need RPC to appear on truck form when it is a RPC pallet. Also size should change when it is a RPC
245,07/22/2003,BDEMPSEY,M,,,Assigned to,,Richard,"When Oppenheimer sends ship file toEDI, would like to recieve copy of file in form that can be opened in excel"
246,07/22/2003,BDEMPSEY,M,ASAP,,Assigned to,,Richard,"In ""Edit pallet details"" And Edit pallet combo would like to be able to undo last change."
247,07/22/2003,ARIZZO,M,07/29/2003,07/29/2003,TS Done-Awaiting OK,10/27/2003,Seth,Storage Time on inventory report on older product needs to be corrected.
248,07/22/2003,BDEMPSEY,L,,,Assigned to,,Richard,"Would like to change names of In ""Edit pallet details"" andedit pallet combo to avoid confusion"
249,07/22/2003,EPHILHOWER,H,,07/22/2003,TS Done-Awaiting OK,09/17/2003,Seth,Pre bills should compile without the manifest being lockec by inventory. Seth had to lock the manifest for the Harv Verdy V 252. Should lock automatically.
252,07/22/2003,BDEMPSEY,L,,,Assigned to,,Richard,Would like to be able to see all locations a particular has had. (history of location)
259,07/22/2003,WSTANSBURY,H,ASAP,08/07/2003,Waiting on user,08/20/2003,Seth,Need to be able to view (not modify) time in LCS
261,07/22/2003,WSTANSBURY,H,08/06/2003,08/05/2003,TS Done-Awaiting OK,10/22/2003,Matthew,Create Daily Custom Code List function for LCS Palm Pilots
263,07/23/2003,SSHOEMAKER,H,,08/15/2003,Waiting on user,08/18/2003,Richard,All directors should have access to Oracle on their desktop for account inquiry and reports so they can check info relevant to their departments as needed
264,07/23/2003,BBARKER,H,,07/24/2003,Working on now,08/26/2003,Matthew,My computer does not run icetec applications. I need Icetec applications to monitor temperature graphs.
272,07/24/2003,TKEEFER,L,08/29/2003,08/29/2003,Assigned to,,Matthew,Multimail PlugIn is incompatible with Documents to Go 4.001. You must upgrade to 4.002 message is recived during hot sync with Palm
278,07/24/2003,MHAHN,H,asap,07/31/2003,Assigned to,10/22/2003,Seth,4 digit ship number needs to show on tracker reports & CCDS invoices
302,07/29/2003,ITHOMAS,H,ASAP,,Assigned to,07/29/2003,Matthew,Determince source of Outlook 2000 email to Gene
309,07/30/2003,MPALLMANN,H,08/01/2003,,TS Done-Awaiting OK,08/15/2003,Matthew,Oppenheimer FTP Install
310,07/30/2003,MPALLMANN,M,08/04/2003,,Assigned to,07/30/2003,Matthew,Automatic user Logoff after 30 min.
311,07/30/2003,MPALLMANN,M,08/04/2003,,Assigned to,07/30/2003,Matthew,Password Rotation
312,07/30/2003,MPALLMANN,M,08/01/2003,,Assigned to,07/30/2003,Matthew,OWA message: Password expires in 0 days
319,07/31/2003,ARIZZO,H,08/04/2003,,Assigned to,12/08/2003,Seth,Please arrange to only require the mark numbers and not letters necessary when utilizing the mark box.
320,07/31/2003,ARIZZO,M,07/16/2003,,TS Done-Awaiting OK,10/13/2003,Seth,When expediting an order please try to condense viewing area so that all information is directly visible to eliminate scrolling up and down.
325,07/31/2003,TSCOTT,H,07/31/2003,,Assigned to,10/30/2003,Matthew,CD in Tazzy's computer is not working. Cannot get W2s.
326,07/31/2003,MPALLMANN,M,ASAP,,TS Done-Awaiting OK,08/01/2003,Matthew,Hiring Hall machines need to be shut down (power going out)
331,08/01/2003,VFARKAS,L,,,Working on now,09/12/2003,Seth,"When reprinting Cold Chain invoices, invoice number does not print on the copy."
332,08/01/2003,PBROWN,M,asap,,Assigned to,08/04/2003,Richard,Could someone install the accounts payable module on Susan Annone's computer...Thank you...Pamela Brown
333,08/04/2003,GBAILEY,H,ASAP,,Assigned to,08/04/2003,Matthew,Gene's printout of calendar is lighter than usual. Printer may need new toner.
334,08/04/2003,GBAILEY,H,ASAP,,Working on now,08/05/2003,Richard,"Per Gene - Add range to Warehouse Utilization Report. Display average, min, max for a week. "
335,08/04/2003,MARTYM,H,08/27/2003,,Assigned to,08/04/2003,Seth,CCDS Truckers Log needs to be implemented with full reporting module.
336,08/04/2003,MARTYM,M,08/28/2003,,TS Done-Awaiting OK,08/20/2003,Seth,CCDS: Add Automated E-mail when an item is ADDED to the manifest.
337,08/04/2003,MHAHN,H,ASAP,,TS Done-Awaiting OK,08/04/2003,Seth,Lot on Vinson are is in the system twice. tracker # 53031 & 53033. Tracker 53033 is correct. Tracker 53031 should be deleted
343,08/04/2003,DCASTAG,M,08/04/2003,,TS Done-Awaiting OK,08/14/2003,Matthew,Printer by D. Castagna needs toner
348,08/04/2003,VNBECKER,H,08/04/2003,,Waiting on user,08/15/2003,Matthew,V. Nohi Becker - Laptop shut off while typing a document
349,08/05/2003,AOUTLAW,H,08/05/2003,,TS Done-Awaiting OK,08/15/2003,Matthew,B. Senseny - cell phone cannot send or recieve calls
350,08/05/2003,BDEMPSEY,H,ASAP,,Assigned to,08/05/2003,Matthew,Customer has problem verifying shipped data.
354,08/05/2003,MORECRAF,L,"asap,if po",,TS Done-Awaiting OK,12/08/2003,Seth,double labor tickets please see email
362,08/06/2003,VFARKAS,H,31-Aug,,Assigned to,08/07/2003,Matthew,Linda Horne's PC should be replaced due to the age of machine to assist with current applications and programs speed and hangups
365,08/07/2003,MPALLMANN,M,08/07/2003,,Assigned to,08/07/2003,Matthew,Provide copy of parts program.
369,08/07/2003,ABRIZOLAKI,H,Aug.8/03,,TS Done-Awaiting OK,10/27/2003,Seth,Need CCDS report for revenue summarized by customer (Crystal??)
370,08/07/2003,SSHOEMAKER,M,08/31/2003,,Working on now,09/10/2003,Richard,I can't access reports in Ceridian I need to clear checks. Seth is aware of error messages.
371,08/08/2003,DTHOMP,H,Yesterday,,Waiting on user,08/20/2003,Matthew,"Color printer does not print; needs new ""Drum Life"" kit."
372,08/08/2003,DTHOMP,M,08/22/2003,,Assigned to,08/12/2003,Matthew,Office supply order forms on-line w/provisions made for approvals.
377,08/11/2003,MPALLMANN,M,08/11/2003,,TS Done-Awaiting OK,08/12/2003,Matthew,Ben needs pallets removed for Oppenheimer 1003017.
380,08/11/2003,DNIESSEN,H,08/29/2003,,TS Done-Awaiting OK,08/12/2003,Matthew,purchase and train guards in use of scanners for LCS and scanning their rounds
386,08/12/2003,SMARINELLI,H,Aug.18/03,,Assigned to,08/15/2003,Matthew,Susan Marinelli needs to be set up for fruit printer
390,08/18/2003,MARTYM,H,soon,,TS Done-Awaiting OK,12/08/2003,Seth,Need to have 'Standpak' (Item #) show up on various inventry reports for customers
391,08/18/2003,MARTYM,M,Soon,,TS Done-Awaiting OK,08/21/2003,Seth,"On tracker report would like to show 'Manifested Qty', 'Qty Rec'd' & 'Qty Rejected' if possible"
394,08/18/2003,ARIZZO,H,08/29/2003,,Assigned to,08/19/2003,Matthew,Cold Chain phones need modified to handle Caller Identification - A. Rizzo
400,08/21/2003,AOUTLAW,L,09/19/2003,,Assigned to,08/21/2003,Matthew,Internet explorer does not display pages - using netscape for now
401,08/21/2003,MARTYM,M,08/25/2003,,TS Done-Awaiting OK,08/25/2003,Seth,Is it possible to have the CCDS system recognize 'Petfood' and have the following statement print out on the Bill of Lading: 'DO NOT FEED TO CATTLE OR OTHER RUMINANTS' / 
405,08/25/2003,ARIZZO,H,08/29/2003,,TS Done-Awaiting OK,09/02/2003,Seth,Invoices and customer inventories should be segrated by product. 
406,08/25/2003,TKEEFER,H,ASAP,,Working on now,08/27/2003,Richard,Set up TRACS Online for reports of vessel and cargo statistics
409,08/26/2003,ARIZZO,H,08/29/2003,,Working on now,09/04/2003,Matthew,Start Scanning Richmond Petfood (Ship-out)
414,08/27/2003,MPHILLIPS,H,08/27/2003,,TS Done-Awaiting OK,09/04/2003,Matthew,Michael Phillips - Palm did not download correctly to LCS - entries not showing up in LCS
415,08/27/2003,MPHILLIPS,H,08/27/2003,,TS Done-Awaiting OK,09/04/2003,Matthew,Michael Phillips - Palm needs replacement batteries
416,08/27/2003,MHAHN,H,asap,,Assigned to,08/27/2003,Seth,bni customer system should notify when changes are made. Similar to the way the CCDS system does via email
418,08/28/2003,MHAHN,H,asap,,Assigned to,08/29/2003,Seth,Need screen that will give us ability to correspond 4 digit vessel # & 7 digit vessel #. Ex if 4 digit # is entering screen will give 7 digit #
420,08/28/2003,LHORNE,L,,,Working on now,09/29/2003,Seth,"ABILITY TO CHOOSE PRINTER FROM A DROP DOWN BOX, WITHOUT GOING OUT OF SCREEN"
421,08/28/2003,DDONOFRIO,M,08/28/2003,,TS Done-Awaiting OK,09/04/2003,Matthew,D. Donofrio - cannot access DSPC Intranet
425,08/29/2003,ITHOMAS,H,ASAP,,Assigned to,08/29/2003,Richard,"Online Leased Space Page with Edit for Finance, and View only for Marketing and Operations"
427,09/02/2003,PAUL KELLEY,H,09/02/2003,,TS Done-Awaiting OK,09/04/2003,Matthew,P. Kelley - Locations for meat are not showing up on scanners 
431,09/02/2003,DGAMBLE,M,ASAP,,TS Done-Awaiting OK,09/04/2003,Matthew,How do I access the Help Desk?
432,09/02/2003,GBAILEY,H,ASAP,,Assigned to,09/02/2003,Matthew,Set up Groups on Phone System and Pickup for Group from desk phone
433,09/02/2003,ITHOMAS,M,ASAP,,Assigned to,09/02/2003,Richard,Create Database of AAPA weekly reports
440,09/05/2003,ITHOMAS,H,ASAP,,Assigned to,09/05/2003,Richard,Set up Month End snap shot of Financials for Directors
442,09/08/2003,AOUTLAW,H,10/03/2003,,Working on now,10/20/2003,Seth,Implement Claims System
446,09/09/2003,ARIZZO,H,09/09/2003,,TS Done-Awaiting OK,09/15/2003,Matthew,USDA - Fax machine not recieving properly
450,09/15/2003,ITHOMAS,M,11/01/2003,,Assigned to,09/15/2003,Seth,John Chagin- Automatic E-Mail of reports.
451,09/15/2003,ITHOMAS,M,11/01/2003,,Working on now,12/08/2003,Seth,John Chagin- E-Port access!
453,09/16/2003,JJAFFE,H,,,Assigned to,09/17/2003,Richard,"The DSPC Inventory Report does not show meat. Also, nothing from Wing E is shown, yet the Whse Util report shows 1670 pallets for E.Report should not be live also"
455,09/16/2003,TSCOTT,H,ASAP,,Assigned to,10/30/2003,Matthew,Tazzy cannot open attachments (server is running slow).
464,09/17/2003,MARTYM,M,09/19/2003,,Assigned to,09/22/2003,Matthew,Pet food scanning: need a 'Void' function to take a pallet off truck order.
465,09/17/2003,MARTYM,M,09/19/2003,,Assigned to,09/22/2003,Matthew,Pet food scanning: after scanning a plt. the last seven digits of the barcode should show on the screen (actual plt. number)
466,09/17/2003,ITHOMAS,H,09/17/2003,,Assigned to,09/22/2003,Matthew,V. Nohi Becker - Instructions to update website from remote site
469,09/18/2003,MARTYM,M,09/23/2003,,Assigned to,09/22/2003,Seth,Need a screen in which we can edit meat manifest. Changes need to be made on occasion.
470,09/18/2003,RWANG,M,09/30/2003,,Assigned to,11/26/2003,Seth,Change Vessel Number in CCDS System- Syncronize with the BNI's system. (Also look at RF Vessel Numbers as well)
472,09/18/2003,ARIZZO,L,09/25/2003,,TS Done-Awaiting OK,10/27/2003,Seth,"The C&S vessel Pacific V 302 inspection E-port overages, shortages & rejections need to be corrected."
477,09/22/2003,MHAHN,H,asap,,Assigned to,09/24/2003,Richard,Need to be able to view RF Tag Audit screen before printing
478,09/23/2003,MICHAELP,L,09/23/2003,,TS Done-Awaiting OK,09/25/2003,Matthew,M. Phillips- Computer Screen not working properly
479,09/23/2003,DGAMBLE,L,09/23/2003,,TS Done-Awaiting OK,09/26/2003,Matthew,D. Gamble - Printer in Supervisors Office not printing
481,09/23/2003,LSANCHEZ,L,09/23/2003,,Assigned to,09/24/2003,Matthew,L. Sanchez - CCDS Printer low on toner
485,09/24/2003,ITHOMAS,M,09/24/2003,,Assigned to,09/24/2003,Matthew,Setup Public Forms in Outlook.
491,09/24/2003,DPETERSON,M,09/25/2003,,Assigned to,09/24/2003,Matthew,NEED ACCESS TO FILES AND E-MAIL FOR AT CCDS
495,09/25/2003,PHEMPHILL,M,10/03/2003,,Assigned to,09/25/2003,Matthew,"Need capability for DSPC Directors, tenants, Bill Boles, Pat Hemphill, Vered Nohi-Becker & Debra Thompson to email info to gatehouses"
496,09/25/2003,MPALLMANN,H,ASAP,,TS Done-Awaiting OK,09/30/2003,Matthew,Scanners 244 and 051 were not scanning.
501,09/25/2003,ARIZZO,M,10/03/2003,,Assigned to,09/25/2003,Matthew,CCDS needs newer telephones that have caller ID feature
504,09/25/2003,DDONALD,M,ASAP,,Assigned to,09/25/2003,Seth,WHY DO ENVENTORY DO SOME MISCELLANEOUS BILLING AND WE DO THE REST?
505,09/26/2003,ITHOMAS,H,09/30/2003,,Assigned to,09/29/2003,Matthew,Install AboutTime on all machines and sync with 172.22.15.121 (eport) NTP Server
509,09/26/2003,BDEMPSEY,H,,,TS Done-Awaiting OK,12/15/2003,Matthew,Cell phone attennna broken: need new phone
510,09/26/2003,SWINTERS,M,09/26/2003,,TS Done-Awaiting OK,10/09/2003,Matthew,Copier feeder produces bad copies
512,09/26/2003,DTHOMP,M,10/10/2003,,Assigned to,09/29/2003,Matthew,Pls equip Susan Annone with a card scan. She inputs the business cards that the Ex Dir receives and this wld be helpful to her. Tnx.
517,09/29/2003,LTRUET,M,10/31/2003,,Assigned to,10/10/2003,Seth,BNI Withdrawl needs to be converted to Shipping Tally/BOL (and in php)
525,09/30/2003,PHEMPHILL,H,09/30/2003,,TS Done-Awaiting OK,10/01/2003,Matthew,Can't get into Outlook
526,09/30/2003,DTHOMP,H,10/01/2003,,Assigned to,10/01/2003,Matthew,"Gene wld like to get his telephone messages via on-line ""Note Pad"". Wld someone show me how? "
527,09/30/2003,ABRIZOLAKI,H,Oct.31/03,,Assigned to,10/01/2003,Seth,Storage invoices are crossing months. when this happens we should get an invoice per month per customer.
530,09/30/2003,DDONALD,H,ASAP,,TS Done-Awaiting OK,10/23/2003,Seth,Vessel Billing - Missed one wharfage invoice (C)
