Case#,Submitted,From,Priority (H/M/L),Deadline,Target Completion,Status,Status As Of,Assigned To,Problem/Issue
531,09/30/2003,LHORNE,L,ASAP,,TS Done-Awaiting OK,10/08/2003,Seth,Vessel Billing Report - Unexpected numbers show up on the report
536,09/30/2003,OPTEMP,H,ASAP,,TS Done-Awaiting OK,10/01/2003,Matthew,IBM Dot Matix not lined up properly. (x)
537,09/30/2003,DTHOMP,L,,,Assigned to,10/01/2003,Matthew,"Message light on phone in boardroom. Pls make sure callers cannot lv messages in boardroom, breakroom, conference rooms, or copy room telephones per GB."
539,10/01/2003,ITHOMAS,M,10/03/2003,,Assigned to,10/01/2003,Matthew,Make an icon on every DSPC desktop/workstation and drop off updated Excel Spreadsheet with a check mark for machines completed and a note for why the others were not completed. 
540,10/01/2003,ITHOMAS,M,12/01/2003,,Assigned to,10/01/2003,Matthew,Create link in EPort so presentations done outside could be posted there as a backup to the laptop.
543,10/01/2003,LTREUT,H,this week,,Assigned to,10/01/2003,Matthew,"please give to Minnette Archie & Marty M a ""Fake out"" printer like my DSP-16, Please note that Seth installed my fake printer, he will know what this is."
544,10/01/2003,LTREUT,H,10/29/2003,,Assigned to,10/01/2003,Matthew,"Inventory report is printing off line, and causing pages to print with one line, this is a mess"
548,10/02/2003,BBOLES,H,10/17/2003,,Assigned to,10/02/2003,Richard,"Can you develope a software program, email capable, intranet & possible internet for visitor notification to gatehouses. "
556,10/03/2003,MARTYM,M,SOON,,Assigned to,10/10/2003,Matthew,Would like to get Mike Billingsley (CCDS) a larger monitor/screen
557,10/03/2003,MARTYM,H,,,Assigned to,10/10/2003,Seth,"RF System - When a plt. that was missed being scanned in, is shipped out on an order, the 'received date' should automatically register as the last day the vessel worked."
566,10/08/2003,PAUL KELLEY,L,,,Assigned to,10/10/2003,Matthew,scanners and LR# for the C&S 
568,10/08/2003,CCATHCART,H,10/10/2003,URGENT,Assigned to,10/10/2003,Matthew,C. Cathcart - Media Converter for Crane
569,10/09/2003,MPALLMANN,H,10/31/2003,,TS Done-Awaiting OK,11/19/2003,Matthew,Oppenheimer FTP online
570,10/09/2003,TKEEFER,H,ASAP,,Assigned to,10/10/2003,Matthew,Tom should have view only status for Gene's calendar
577,10/13/2003,MPALLMANN,H,ASAP,,TS Done-Awaiting OK,10/13/2003,Matthew,Chan's computer is inserting duplicate records in LCS.
592,10/15/2003,GHARRIS,H,ASAP,,TS Done-Awaiting OK,11/05/2003,Seth,I was able to accidentally enter an entry for Ricky Smith. I should not be able to change another Supervisors time.
596,10/15/2003,PSHUKLA,M,ASAP,,TS Done-Awaiting OK,11/10/2003,Matthew,Word Document Attachment does not print correctly
602,10/16/2003,ABRIZOLAKI,L,,,Assigned to,10/16/2003,Seth,Validation asset code with Oracle Finance in creating invoice and credit/debt memo process.
603,10/16/2003,DNIESSEN,H,asap,,Assigned to,10/16/2003,Richard,template for dept. salary workhours
606,10/16/2003,PSHUKLA,M,10/20/2003,,TS Done-Awaiting OK,11/10/2003,Matthew,Can not dial through the new computer
607,10/16/2003,BBOLES,H,10/17/2003,,Waiting on user,10/23/2003,Matthew,I need to have a message for the old phone number for the maingate (472-4604) automatically transferred to the new maingate phone number (472-7864) along with a message advising of the number change.
611,10/16/2003,DCASTAG,L,16-Oct,,Assigned to,10/16/2003,Matthew,screen saver timing
613,10/17/2003,SWALKER,H,10/20/2003,,Assigned to,10/17/2003,Matthew,Request to move John Reece contacts off my outlook and give to Randy Horne/Have access to Randy's calender on outlook
614,10/17/2003,MPALLMANN,H,ASAP,,TS Done-Awaiting OK,10/20/2003,Matthew,DDonofrio needed help hotsyncing his Palm.
616,10/17/2003,MCUTLER,H,ASAP,,Waiting on user,10/23/2003,Matthew,MCutler needed correction for Palm (OPEN AREA instead of STEEL).
617,10/17/2003,BBOLES,L,10/20/2003,,TS Done-Awaiting OK,11/24/2003,Matthew,Matt. Either you fixed this or it fixed itself. Thanks
621,10/17/2003,MARTYM,H,ASAP,,Assigned to,10/20/2003,Matthew,THE MATRIX PRINTER (WITHDRAWAL ORDERS) INVENTORY DEPT. HAS BEEN ACTING UP ON NUMEROUS OCCASIONS LATELY. NEEDS REPLACING OR MAJOR SURGERY
628,10/20/2003,ABRIZOLAKI,H,10/30/2003,,Working on now,10/22/2003,Seth,Information on reprint of invoices can be altered and this should not be possible. A reprint should be a snapshot of original invoice
629,10/20/2003,RHORNE,M,10/22/2003,,Assigned to,10/21/2003,Matthew,User Rights change so new input can be entered
631,10/21/2003,DDONOFRIO,H,ASAP,,TS Done-Awaiting OK,10/23/2003,Matthew,Problems downloading information from Palm.
632,10/21/2003,MCUTLER,H,ASAP,,TS Done-Awaiting OK,10/23/2003,Matthew,Cannot save records in Palm LCS.
637,10/21/2003,ABRIZOLAKI,M,10/31/2003,,Assigned to,10/21/2003,Seth,Edit Prebill program- Set up for extra description on invoice when we have special requests from CCDS or other
640,10/21/2003,ARIZZO,H,10/22/2003,,TS Done-Awaiting OK,10/22/2003,Seth,Please fun a report on all TIS from Swift to Fairbank Farms from January 2004 to present.
643,10/22/2003,ABRIZOLAKI,H,10/31/2003,,Assigned to,10/22/2003,Seth,Need to inactivate customer accounts in BNI
645,10/22/2003,OPTEMP,M,,,TS Done-Awaiting OK,11/26/2003,Seth,IF POSSIBLE ELIMINATE CUT ON CENTURY'S BILL OF LADING
646,10/23/2003,MARTYM,H,ASAP,,Assigned to,10/30/2003,Seth,"Activity Report (All) needs to be reorganized. When Lisa prints out report, information is missing when compared to Lynn's report."
648,10/23/2003,ABRIZOLAKI,H,10/24/2003,,Assigned to,10/23/2003,Seth,Futter Lumber is requesting load#on invoices. 
650,10/23/2003,MARTYM,M,ASAP,,TS Done-Awaiting OK,11/26/2003,Seth,"Need CCDS system to recognize Century Intl when printing BL, customer does not want 'cut' to appear on BL."
651,10/23/2003,MARTYM,M,ASAP,,Assigned to,10/23/2003,Seth,Need an edit screen to correct mistakes on scanned pet food loads. Also need RF system to not scan the same plt. more than once.
653,10/23/2003,ITHOMAS,H,10/29/2003,,Working on now,11/24/2003,Matthew,"All sysadmin, root and TS related passwords: DSPC, Workstations, Tally, EDI, AOL, Voicemail, Scanner, Linux Root, Apache, Backup, Exchange, NAV, Oracle DBs, Router "
654,10/23/2003,ITHOMAS,H,10/30/2003,,Assigned to,10/23/2003,Matthew,List of Critical Spares needed for the season
655,10/23/2003,ITHOMAS,H,11/13/2003,,Assigned to,10/23/2003,Matthew,List of all files backed up on servers and workstations
656,10/23/2003,ITHOMAS,M,11/11/2003,,Assigned to,10/23/2003,Matthew,Voicemail software on Inigo's computer. Need to be able to listen and dial-out from computer.
661,10/27/2003,EPHILHOWER,H,ASAP,,Assigned to,10/28/2003,Seth,"Is there a way when you enter the customer # on a free from invoice, it will show you the customer name?"
662,10/27/2003,SSHOEMAKER,M,10/31/2003,,Waiting on user,11/03/2003,Seth,How does the LCS system map payroll info from input service codes to GL coding? Is this hard coded?
665,10/28/2003,PSHUKLA,H,10/27/2003,,TS Done-Awaiting OK,11/10/2003,Matthew,printer is not working
666,10/28/2003,AMARKOW,H,ASAP,,Assigned to,10/28/2003,Matthew,Problems printing to HR printer.
667,10/29/2003,MHAHN,H,ASAP,,Assigned to,10/29/2003,Seth,Need ability to create a second credit note against an invoice
669,10/29/2003,SSHOEMAKER,H,ASAP,,Assigned to,10/29/2003,Richard,"Oracle Report Payables Distribution has columns for account codes, but no data appears. This report/information crucial to audit."
670,10/29/2003,RHORNE,H,,,Assigned to,10/29/2003,Matthew,Please provide access to the drive containing AutoCad and BCAD for Kysa and I. No one else should have access.
672,10/29/2003,MARCHIE,H,,,TS Done-Awaiting OK,11/06/2003,Seth,when I run the inventory in BNI Reports I get a full page and then a partial page. So instead of printing and 8 page inventory it prints 16 pages.
673,10/29/2003,AMARKOW,L,,,Assigned to,10/29/2003,Seth,"Could I please have ""hours details"" from LCS added to my computer?"
674,10/29/2003,ABRIZOLAKI,H,11/30/2003,,Assigned to,10/29/2003,Seth,RF Storage bills- need prebill or edit function to make changes/deletions when necessary
676,10/29/2003,VFARKAS,H,11/05/2003,,Assigned to,10/30/2003,Matthew,To have a laptop loaded with ADI software for director's financial reviews during month end
677,10/29/2003,VFARKAS,M,11/28/2003,,Assigned to,10/30/2003,Matthew,To have a permanent laptop in accounting for various uses including month end director reviews
679,10/30/2003,PHEMPHILL,H,SOON,,Assigned to,10/30/2003,Matthew,Palm for Pat Hemphill.
680,10/30/2003,BBARKER,H,SOON,,Assigned to,10/30/2003,Matthew,Palm for Bob Barker.
683,10/30/2003,DNIESSEN,H,11/03/2003,,Waiting on user,11/03/2003,Seth,LCS Logic change
684,10/31/2003,LTREUT,M,11/07/2003,,Assigned to,10/31/2003,Seth,Would like to have the ability to insert pending information on to the inventory work sheet when needed. 
686,11/03/2003,MPHILLIPS,H,ASAP,,TS Done-Awaiting OK,11/04/2003,Matthew,Phone damaged in fall.
690,11/03/2003,PKELLY,H,ASAP,,TS Done-Awaiting OK,11/10/2003,Matthew,Problems uploading Palm. Cannot Hotsync.
691,11/03/2003,TSCOTT,H,ASAP,,Assigned to,11/03/2003,Matthew,Problems printing from CD Software.
693,11/04/2003,RHORNE,M,ASAP,,Assigned to,11/04/2003,Matthew,Determine status of cabling in 2nd floor of Tug Murray Bldg. Contact Kysa to be shown the room with cabling.
694,11/04/2003,RHORNE,M,ASAP,,Assigned to,11/04/2003,Matthew,Plotter must be restricted to Kysa and myself. Others should not be able to see this as an available printer. 
696,11/04/2003,MHAHN,H,ASAP,,TS Done-Awaiting OK,11/05/2003,Seth,service / asset and commodity codes are not defaulting in when creating new credit or debit memo
700,11/05/2003,ABRIZOLAKI,H,12/01/2003,,Assigned to,11/05/2003,Seth,We cannot use G/L accounts with service /commodity/asset as we want. They are linked in the background and everthing is pushed to account 3180.
701,11/05/2003,LHORNE,H,,,TS Done-Awaiting OK,11/06/2003,Seth,REFER TO REPORT OF TRANSFERRED JUICE DURING THE MON TH... COULD IT SHOW CUSTOMER FROM AS WELL AS TO AND THE DATE OF TRANSFER
703,11/06/2003,LHORNE,H,asap,,Assigned to,11/06/2003,Seth,"would like to have pre bill numbers for truck unloading, and loading for -1, 3, and 5635 customer 1638,249 vessels. at present it creates an invoice but no prebill. "
704,11/06/2003,LHORNE,H,11/06/2003,,TS Done-Awaiting OK,11/06/2003,Seth,Add Code for Wing E(x) for storage billing program.
707,11/07/2003,MARTYM,M,11/26/2003,,Assigned to,11/07/2003,Matthew,Would like to have access to a laptop during Chilean Fruit Season and have access to wip and Operations Screen.
708,11/07/2003,MARTYM,H,NOW,,Assigned to,11/07/2003,Seth,Misc. Billing Printout needs to be reformatted so that all information typed into description shows on the printout. As of now info is cut off.
711,11/10/2003,RSMITH,H,ASAP,,TS Done-Awaiting OK,11/12/2003,Matthew,Need Palm program reloaded.
712,11/10/2003,LTREUT,H,11/14/2003,,TS Done-Awaiting OK,11/17/2003,Seth,Add CHOCK statement to all Shipping Tallys
713,11/11/2003,LTREUT,M,11/28/2003,,Assigned to,11/11/2003,Seth,We would like to have the ability to enter and track suppliers or Importers in our system. Please see me
714,11/11/2003,LTREUT,M,11/28/2003,,Assigned to,11/11/2003,Seth,"We would like to have the ability to enter repeated ship to address and store in BNI , and have this information print on Dummy & WO"
716,11/11/2003,LTREUT,H,12/15/2003,,Assigned to,11/11/2003,Seth,"We need in Transfer Screen a check to trigger automatic billing of surcharge, this billing should not be manual, need to be automated"
717,11/11/2003,TSCOTT,H,ASAP,,TS Done-Awaiting OK,11/11/2003,Seth,Can't export hours to Ceridian
718,11/11/2003,LTREUT,M,12/31/2003,,Assigned to,11/11/2003,Seth,"We would like to be able to utilize both slots for the Truck/Trailer. and have this info print on WO, Only I would like to use one for customer release/info "
721,11/11/2003,ABRIZOLAKI,H,11/11/2003,,Waiting on user,12/04/2003,Seth,Transfer for $7.00 surcharge for final billing month(when cargo leaves) not on current billing report
722,11/11/2003,VFARKAS,H,11/12/2003,,TS Done-Awaiting OK,11/17/2003,Seth,Surcharges for transferred Argentine Juice do not compute for the last month cargo is in storage/cargo is shipped. For all other months the surcharge computes.
727,11/11/2003,ITHOMAS,H,,,TS Done-Awaiting OK,12/18/2003,Richard,"Send tempareture change request email to Randy Horne, Bob Barker and Bill Stansbury"
728,11/12/2003,WSTANSBURY,M,,,Assigned to,11/12/2003,Richard,"Send detail daily Palm Usage email to Bill Stansbury (Must have: supervisor, hrs paid, hrs from palm, % . If % <> 100 then provide details: emp name, hrs.)"
729,11/12/2003,MHAHN,H,asap,,TS Done-Awaiting OK,12/04/2003,Seth,Fish storage is billing only to Mazetta not to importer of record
731,11/12/2003,SWALKER,L,11/13/2003,,Assigned to,11/12/2003,Matthew,problems with outlook
734,11/12/2003,MHAHN,M,11/30/2003,,Waiting on user,12/04/2003,Seth,lot 54653 is showing as zero pallets / 7 cartons. should show as 1 pallet. Please review pallets in storage to see if any others are showing as zero. These will not pick up in storage program
736,11/13/2003,SWALKER,L,11/12/2003,,Assigned to,11/13/2003,Matthew,debra's ;comupter is running slow
737,11/13/2003,VNBECKER,M,11/14/2003,,Assigned to,11/13/2003,Matthew,"PDF program - I can't convert all files to DPF, and I can't locate my PDF program. Is it possible that it was deleted? Thanks. V"
740,11/14/2003,VFARKAS,H,12/31/2003,,Assigned to,11/14/2003,Seth,Juice transfer surcharges generated automatically and not done manually. Surcharges to be generated at time of transfer. Rules for BNI Juice transfers have been established
743,11/18/2003,SHARON,L,ASAP,,Assigned to,11/18/2003,Matthew,PLEASE CHANGED EMAIL NAME FROM BREZIAL TO SHARON CORBIN THANKS
745,11/19/2003,ABRIZOLAKI,H,11/30/2003,,Working on now,12/04/2003,Seth,"Invoices that are more than 1 page must have customer information ,invoice number , date on all pages. This is a top priority request and must be set for the current system in BNI and RF"
746,11/19/2003,ABRIZOLAKI,H,11/30/2003,,Working on now,12/08/2003,Seth,Help Desk item 745 should also include CCDS. All basic invoice information should be on the top of every page of any invoice
747,11/19/2003,MHAHN,M,12/05/2003,,TS Done-Awaiting OK,12/04/2003,Seth,setup user names & passwords for eport for Chilean Fruit information on all customers for Antonia and Meredith
749,11/20/2003,CCATHCART,M,,,Assigned to,11/20/2003,Matthew,Connection between handheld & desktop
751,11/20/2003,ABRIZOLAKI,H,11/30/2003,,Assigned to,11/20/2003,Seth,Argentine Juice surcharge to be automatically invoiced when transfer is made/storage is run.
752,11/20/2003,ABRIZOLAKI,H,11/30/2003,,Assigned to,11/20/2003,Seth,For transfers between customers on Chilean fruit the order # of the transferee is needed on the invoice.This was requested by Guimarra. may not be relevant for all customers
753,11/20/2003,LHORNE,M,asap,,Assigned to,11/20/2003,Seth,"could you please scan a blank BNI invoice, and a blank CCDS invoice into the WHIP "
757,11/21/2003,PSHERMAN,L,,,Assigned to,11/21/2003,Matthew,Laptop will not let you save on helpdesk
759,11/21/2003,TRAVEL,H,ASAP,,Assigned to,11/21/2003,Matthew,Deletes employees
761,11/21/2003,BBARKER,H,,,Assigned to,11/21/2003,Matthew,Can you install AOL on my lap top so I can dial into auto mtrix.
763,11/21/2003,WSTANSBURY,M,,,Assigned to,11/21/2003,Matthew,Russell Corbin cannot access TS Help Desk Log on his computer.
765,11/24/2003,RCORBIN,H,ASAP,,TS Done-Awaiting OK,12/15/2003,Matthew,R Corbin could not HotSync Palm.
766,11/24/2003,MORECRAF,L,12/31/2003,,Assigned to,11/24/2003,Matthew,We need a box of floppy disks (Supervisors Cameras)
767,11/24/2003,EPHILHOWER,H,ASAP,,TS Done-Awaiting OK,11/26/2003,Seth,Kiwi juice not caculating/Tex/Beef billed as inspected not non inspect also not caculating correctly.
770,11/25/2003,SWALKER,H,11/25/2003,,Assigned to,11/25/2003,Matthew,set up email where i can group the board of directors in one
771,11/25/2003,RCORBIN,H,ASAP,,TS Done-Awaiting OK,12/18/2003,Richard,when an indiviual has been payed a DH from 12 to 1 and I try to pay them another one from 6 to 7 it will not take.
772,11/25/2003,RHORNE,M,,,Working on now,12/18/2003,Richard,Refrigerator temperature daily report
773,11/25/2003,RHORNE,M,,,Assigned to,11/25/2003,Richard,Refrigerator compressor status report
775,11/25/2003,MICHAELP,H,asap,,Assigned to,11/25/2003,Matthew,"When transfering an employee, another one is deleted in the palm pilot..."
777,11/25/2003,WSTANSBURY,M,,,Assigned to,11/25/2003,Matthew,"Dannye, Michael & Russell's palm pilot is still loosing information when it comes to 'Ducans'"
778,11/25/2003,WSTANSBURY,H,ASAP,,TS Done-Awaiting OK,12/15/2003,Matthew,I need a computer and phone set up in the Supervisors area.
783,11/26/2003,ITHOMAS,H,11/28/2003,,Assigned to,11/26/2003,Matthew,The internet is too slow around here. Please fix it as soon as possible.
784,11/26/2003,ITHOMAS,H,11/28/2003,,TS Done-Awaiting OK,11/26/2003,Matthew,Deleting Employees during Upload
785,11/26/2003,ITHOMAS,H,11/26/2003,,Assigned to,11/26/2003,Matthew,Will not let Ron Betts pick up information off the computer
786,11/26/2003,DDONOFRIO,M,12/04/2003,,Assigned to,11/26/2003,Matthew,Cargo Activity Report installed on my computer
787,11/28/2003,WSTANSBURY,H,12/05/2003,,Assigned to,11/28/2003,Seth,I cannot access Operation's Labor tickets. (I need to verify or in some cases print labor tickets for the Billing dept.)
789,12/01/2003,MHAHN,L,03/01/2004,,Waiting on user,12/04/2003,Seth,Customer #s for customers that have inventory need to be updated. List of customers to be sent to Seth via email
794,12/01/2003,MHAHN,H,asap,,Assigned to,12/01/2003,Seth,shuttle beef free time not calculating correctly lots 54923 & 54924
796,12/01/2003,JJAFFE,L,,,Assigned to,12/01/2003,Matthew,Over the road Chilean cargo is not captured accurately in Tonnage by Commodity Report. Can it be made right? 
797,12/02/2003,TKEEFER,M,,,TS Done-Awaiting OK,12/18/2003,Richard,3 day over the road cargo report
799,12/03/2003,RCORBIN,H,now,,TS Done-Awaiting OK,12/15/2003,Matthew,"I have no,no,no phone at all"
800,12/03/2003,PKELLEY,L,,,Assigned to,12/03/2003,Matthew,could't log in
